business_status,geometry,name,place_id,rating,types,user_ratings_total,vicinity,permanently_closed,place_type
28,OPERATIONAL,"{'location': {'lat': 20.6919476, 'lng': -105.281075}, 'viewport': {'northeast': {'lat': 20.6933173302915, 'lng': -105.2796817197085}, 'southwest': {'lat': 20.6906193697085, 'lng': -105.2823796802915}}}",Las Burritas,ChIJlyksVZxGIYQRWYeOrHD8U4I,3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']",11.0,"Prolongación Amado Nervo 21, Las Jarretaderas",,restaurant
29,OPERATIONAL,"{'location': {'lat': 20.69198789999999, 'lng': -105.2811737}, 'viewport': {'northeast': {'lat': 20.6934633802915, 'lng': -105.2798023197085}, 'southwest': {'lat': 20.6907654197085, 'lng': -105.2825002802915}}}",Restaurante Los Alcatraces de Nuevo Vallarta,ChIJcTFASJtGIYQR1ZNOhkT2K4w,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']",991.0,"Boulevard Riviera Nayarit 1423, Las Jarretaderas",,restaurant
30,OPERATIONAL,"{'location': {'lat': 20.6964992, 'lng': -105.2742585}, 'viewport': {'northeast': {'lat': 20.6978479802915, 'lng': -105.2729110697085}, 'southwest': {'lat': 20.6951500197085, 'lng': -105.2756090302915}}}",Hacienda Mamá Nena,ChIJa6nm-7VHIYQRikg1wvbpynA,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']",174.0,"Prol, Avenida Mexico #163, Las Jarretaderas",,restaurant
31,OPERATIONAL,"{'location': {'lat': 20.696399, 'lng': -105.2786347}, 'viewport': {'northeast': {'lat': 20.6977315802915, 'lng': -105.2772569697085}, 'southwest': {'lat': 20.6950336197085, 'lng': -105.2799549302915}}}",Rhythms of the Night,ChIJcTFASJtGIYQRhkD5xHEsGZI,4.7,"['restaurant', 'food', 'point_of_interest', 'establishment']",20.0,"Paseo de las Palmas #39, Las Jarretaderas",,restaurant
32,OPERATIONAL,"{'location': {'lat': 20.6958548, 'lng': -105.2707862}, 'viewport': {'northeast': {'lat': 20.6971151302915, 'lng': -105.2693514197085}, 'southwest': {'lat': 20.6944171697085, 'lng': -105.2720493802915}}}",Jarre Burguer,ChIJS5FXS21HIYQRK83t1_hRvrA,,"['restaurant', 'food', 'point_of_interest', 'establishment']",,"Calle Ingreso 75, Las Jarretaderas",,restaurant
33,OPERATIONAL,"{'location': {'lat': 20.6991953, 'lng': -105.2757075}, 'viewport': {'northeast': {'lat': 20.7005429802915, 'lng': -105.2743604697085}, 'southwest': {'lat': 20.6978450197085, 'lng': -105.2770584302915}}}",Don Camarón Restaurante,ChIJbb5ADoVGIYQRbHCzL7Mk_Ss,,"['restaurant', 'food', 'point_of_interest', 'establishment']",,"Avenida Mexico, Las Jarretaderas",,restaurant
34,OPERATIONAL,"{'location': {'lat': 20.6992747, 'lng': -105.2757537}, 'viewport': {'northeast': {'lat': 20.7006157802915, 'lng': -105.2744164697085}, 'southwest': {'lat': 20.6979178197085, 'lng': -105.2771144302915}}}",Carnitas El Atrancon IV,ChIJFfdQ06VHIYQRsnDko3LACjo,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",2.0,Jarretaderas,,restaurant
35,OPERATIONAL,"{'location': {'lat': 20.6984853, 'lng': -105.2715684}, 'viewport': {'northeast': {'lat': 20.6998257802915, 'lng': -105.2701728697085}, 'southwest': {'lat': 20.6971278197085, 'lng': -105.2728708302915}}}",Ernesto's good grub,ChIJAcqjh4ZGIYQRj2MdMNPxJHA,4.8,"['restaurant', 'food', 'point_of_interest', 'establishment']",103.0,"Pera 17, Las Jarretaderas",,restaurant
36,OPERATIONAL,"{'location': {'lat': 20.699597, 'lng': -105.2758926}, 'viewport': {'northeast': {'lat': 20.7008884302915, 'lng': -105.2745928697085}, 'southwest': {'lat': 20.6981904697085, 'lng': -105.2772908302915}}}",Chasers,ChIJ46WUEoVGIYQRD4EZ2D2qvM8,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']",87.0,"Avenida Mexico, Las Jarretaderas",,restaurant
37,OPERATIONAL,"{'location': {'lat': 20.6996241, 'lng': -105.2759827}, 'viewport': {'northeast': {'lat': 20.7009228302915, 'lng': -105.2746704697085}, 'southwest': {'lat': 20.6982248697085, 'lng': -105.2773684302915}}}",Brazilian Meat Night By El Churrasco,ChIJYRA0ttRHIYQRRZnixjKEvos,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",2.0,"Avenida México, Las Jarretaderas",,restaurant
