rating_x,user_ratings_total_x,num_restaurants,rest_mean_rating,num_bars,bars_mean_rating,num_art_galleries,art_gallery_mean_rating,num_gyms,gyms_mean_rating,num_shopping,shopping_mean_rating,num_tourist_attract,tourist_mean_rating,num_casinos,num_supermarkets,supermarkets_mean_rating
23,4.6,1448.0,60,4.38,18,4.306666666666667,3,4.699999999999998,7,5.0,8,4.5,1,4.6,1,3,4.4
24,4.3,1615.0,60,4.379245283018868,11,4.3875,2,4.699999999999998,6,5.0,7,4.5200000000000005,1,4.6,1,2,4.1
25,4.8,42.0,50,4.27906976744186,8,4.32,1,4.8,5,5.0,5,4.55,0,4.589234597010132,1,2,4.1
26,4.4,476.0,60,4.39622641509434,21,4.416666666666667,4,4.8,8,5.0,8,4.5,1,4.6,1,3,4.4
27,3.8,174.0,60,4.377358490566038,16,4.338461538461538,3,4.699999999999998,6,5.0,8,4.5,0,4.589234597010132,1,3,4.4
28,4.4,26.0,60,4.425454545454545,16,4.407692307692306,3,4.699999999999998,6,5.0,8,4.5,0,4.589234597010132,1,3,4.4
29,4.3,28.0,60,4.4407407407407415,20,4.417647058823528,3,4.699999999999998,10,4.82,8,4.5,1,4.6,1,3,4.4
30,4.1,1664.0,60,4.320754716981131,26,4.404545454545455,7,4.5200000000000005,9,4.775,8,4.683333333333334,5,4.5,0,3,4.6
31,4.7,46.0,60,4.44,20,4.416666666666667,2,4.699999999999998,12,4.8500000000000005,7,4.5200000000000005,1,4.6,1,3,4.4
32,4.6,14.0,60,4.3462962962962965,24,4.404761904761905,8,4.566666666666666,13,4.871428571428573,11,4.588888888888889,2,4.699999999999998,1,4,4.449999999999998
33,4.7,3.0,60,4.3462962962962965,24,4.404761904761905,7,4.5200000000000005,13,4.871428571428573,11,4.588888888888889,5,4.5,1,4,4.449999999999998
34,4.8,641.0,60,4.429411764705883,19,4.410526315789474,4,4.333333333333333,11,4.8500000000000005,2,4.65,1,4.6,0,0,4.399347128082186
35,4.6,3364.0,49,4.430769230769231,13,4.43,4,4.333333333333333,9,4.7,3,4.766666666666667,2,4.5,0,0,4.399347128082186
36,4.7,3701.0,22,4.522222222222221,6,4.516666666666667,0,4.76062109252212,6,4.55,1,5.0,1,4.6,0,0,4.399347128082186
37,4.7,33.0,8,4.671428571428573,2,4.550000000000002,0,4.76062109252212,1,4.569126538821495,0,4.6051375013874996,1,4.6,0,0,4.399347128082186
38,4.7,91.0,39,4.465625,9,4.4444444444444455,0,4.76062109252212,7,4.55,1,5.0,1,4.6,0,0,4.399347128082186
39,4.6,98.0,48,4.415384615384615,10,4.4300000000000015,4,4.333333333333333,9,4.7,3,4.766666666666667,1,4.6,0,0,4.399347128082186
40,4.6,13.0,60,4.394117647058823,23,4.4049999999999985,6,4.4,10,4.775,6,4.74,2,4.5,0,1,4.6
41,4.9,59.0,42,4.484375,10,4.512499999999998,4,4.333333333333333,8,4.7,3,4.766666666666667,0,4.589234597010132,0,0,4.399347128082186
42,4.5,56.0,60,4.394117647058823,26,4.418181818181818,6,4.4,10,4.775,7,4.683333333333334,2,4.5,0,3,4.6000000000000005
43,4.7,161.0,39,4.509677419354838,7,4.514285714285714,1,4.8,10,4.775,3,4.4,1,4.6,0,1,4.0
44,4.4,36.0,60,4.39,22,4.405263157894737,5,4.333333333333333,10,4.775,5,4.675,4,4.449999999999998,0,1,4.6
45,4.3,4278.0,60,4.371428571428571,18,4.3533333333333335,5,4.5,8,4.7,3,4.766666666666667,3,4.4,0,1,4.6
46,4.2,93.0,42,4.2147058823529395,10,4.316666666666666,5,4.5,4,4.65,7,4.566666666666666,6,4.566666666666666,1,1,4.6
47,4.2,3313.0,60,4.3679999999999986,23,4.3950000000000005,7,4.5200000000000005,9,4.775,6,4.62,4,4.475,0,3,4.6000000000000005
